,action,honest_clients,malicious_clients,proxy_name,system_health,time,total_blocked,total_healthy
0,PROXY_BLOCK,2,1,Proxy 9,90.0,50.0,1,9
1,PROXY_BLOCK,1,1,Proxy 5,80.0,50.41194761016989,2,8
2,PROXY_BLOCK,1,2,Proxy 2,70.0,51.17196852502224,3,7
3,PROXY_BLOCK,1,1,Proxy 0,60.0,53.942067653332764,4,6
4,PROXY_BLOCK,0,2,Proxy 7,50.0,55.79794875272766,5,5
5,PROXY_BLOCK,0,2,Proxy 4,40.0,55.88912876667468,6,4
6,PROXY_BLOCK,0,2,Proxy 1,30.000000000000004,55.98668974687219,7,3
7,PROXY_BLOCK,0,1,Proxy 3,19.999999999999996,65.99807258732466,8,2
8,PROXY_BLOCK,1,1,Proxy 8,9.999999999999998,70.07169068513902,9,1
9,PROXY_DEATH,3,1,Proxy 6,0.0,71.44725717026418,10,0
10,ENUMERATE_PROXY,-1,-1,Proxy 4,-1.0,0.0,-1,-1
11,ENUMERATE_PROXY,-1,-1,Proxy 7,-1.0,12.816574467762017,-1,-1
12,ENUMERATE_PROXY,-1,-1,Proxy 2,-1.0,19.731260763647956,-1,-1
13,ENUMERATE_PROXY,-1,-1,Proxy 1,-1.0,23.771256422394455,-1,-1
14,MISS_ENUMERATE_PROXY,-1,-1,Proxy 4,-1.0,23.971883727852727,-1,-1
15,ENUMERATE_PROXY,-1,-1,Proxy 0,-1.0,25.259759925856038,-1,-1
16,MISS_ENUMERATE_PROXY,-1,-1,Proxy 1,-1.0,30.01894819292171,-1,-1
17,MISS_ENUMERATE_PROXY,-1,-1,Proxy 7,-1.0,30.516324092306448,-1,-1
18,ENUMERATE_PROXY,-1,-1,Proxy 5,-1.0,42.264099236858186,-1,-1
19,ENUMERATE_PROXY,-1,-1,Proxy 9,-1.0,46.40625486044213,-1,-1
20,MISS_ENUMERATE_PROXY,-1,-1,Proxy 2,-1.0,47.50158698458251,-1,-1
21,ENUMERATE_PROXY,-1,-1,Proxy 3,-1.0,65.60810724729335,-1,-1
22,ENUMERATE_PROXY,-1,-1,Proxy 8,-1.0,69.67560307899409,-1,-1
23,ENUMERATE_PROXY,-1,-1,Proxy 6,-1.0,70.6674971682192,-1,-1
