,action,honest_clients,malicious_clients,proxy_name,system_health,time,total_blocked,total_healthy
0,PROXY_BLOCK,0,2,Proxy 1,90.0,50.0,1,9
1,PROXY_BLOCK,2,1,Proxy 9,80.0,51.126601616850955,2,8
2,PROXY_BLOCK,1,1,Proxy 0,70.0,51.25726805752597,3,7
3,PROXY_BLOCK,1,1,Proxy 6,60.0,53.9530558321294,4,6
4,PROXY_BLOCK,2,1,Proxy 3,50.0,54.03040537615398,5,5
5,PROXY_BLOCK,0,1,Proxy 2,40.0,55.51599818844098,6,4
6,PROXY_BLOCK,2,1,Proxy 4,30.000000000000004,72.58253316493585,7,3
7,PROXY_BLOCK,3,1,Proxy 8,19.999999999999996,89.33763453221029,8,2
8,PROXY_BLOCK,1,1,Proxy 7,9.999999999999998,97.61244958481498,9,1
9,PROXY_DEATH,3,1,Proxy 5,0.0,118.74162216121867,10,0
10,ENUMERATE_PROXY,-1,-1,Proxy 1,-1.0,7.433382285089745,-1,-1
11,MISS_ENUMERATE_PROXY,-1,-1,Proxy 1,-1.0,21.9666319132763,-1,-1
12,ENUMERATE_PROXY,-1,-1,Proxy 0,-1.0,23.870184321309324,-1,-1
13,ENUMERATE_PROXY,-1,-1,Proxy 9,-1.0,36.291094504602384,-1,-1
14,ENUMERATE_PROXY,-1,-1,Proxy 3,-1.0,45.64569332992062,-1,-1
15,ENUMERATE_PROXY,-1,-1,Proxy 6,-1.0,53.21326126394405,-1,-1
16,ENUMERATE_PROXY,-1,-1,Proxy 2,-1.0,55.29954015045522,-1,-1
17,ENUMERATE_PROXY,-1,-1,Proxy 4,-1.0,72.18073243543719,-1,-1
18,ENUMERATE_PROXY,-1,-1,Proxy 8,-1.0,88.86454704152578,-1,-1
19,ENUMERATE_PROXY,-1,-1,Proxy 7,-1.0,95.87330400523223,-1,-1
20,ENUMERATE_PROXY,-1,-1,Proxy 5,-1.0,118.31793369730038,-1,-1
