,action,honest_clients,malicious_clients,proxy_name,system_health,time,total_blocked,total_healthy
0,PROXY_BLOCK,0,2,Proxy 1,90.0,50.0,1,9
1,PROXY_BLOCK,2,1,Proxy 3,80.0,50.00676205837863,2,8
2,PROXY_BLOCK,2,1,Proxy 9,70.0,50.203258700336676,3,7
3,PROXY_BLOCK,1,1,Proxy 0,60.0,52.15555155331408,4,6
4,PROXY_BLOCK,1,1,Proxy 4,50.0,52.48318638755362,5,5
5,PROXY_BLOCK,1,1,Proxy 7,40.0,56.11686307485486,6,4
6,PROXY_BLOCK,2,1,Proxy 6,30.000000000000004,61.91515520876493,7,3
7,PROXY_BLOCK,3,1,Proxy 2,19.999999999999996,124.22355819883106,8,2
8,PROXY_BLOCK,3,1,Proxy 8,9.999999999999998,136.72720313805615,9,1
9,PROXY_DEATH,5,1,Proxy 5,0.0,136.78334568104475,10,0
10,ENUMERATE_PROXY,-1,-1,Proxy 1,-1.0,6.194485237574788,-1,-1
11,MISS_ENUMERATE_PROXY,-1,-1,Proxy 1,-1.0,18.305526594396913,-1,-1
12,ENUMERATE_PROXY,-1,-1,Proxy 0,-1.0,19.891820267757765,-1,-1
13,ENUMERATE_PROXY,-1,-1,Proxy 9,-1.0,30.24257875383531,-1,-1
14,ENUMERATE_PROXY,-1,-1,Proxy 3,-1.0,38.03807777493384,-1,-1
15,ENUMERATE_PROXY,-1,-1,Proxy 7,-1.0,44.344384386620035,-1,-1
16,ENUMERATE_PROXY,-1,-1,Proxy 4,-1.0,44.99771658999512,-1,-1
17,ENUMERATE_PROXY,-1,-1,Proxy 6,-1.0,59.93096612032509,-1,-1
18,ENUMERATE_PROXY,-1,-1,Proxy 2,-1.0,120.08711145722623,-1,-1
19,ENUMERATE_PROXY,-1,-1,Proxy 8,-1.0,135.9826113358727,-1,-1
20,ENUMERATE_PROXY,-1,-1,Proxy 5,-1.0,136.62735797219156,-1,-1
