,action,honest_clients,malicious_clients,proxy_name,system_health,time,total_blocked,total_healthy
0,PROXY_BLOCK,0,2,Proxy 1,90.0,50.0,1,9
1,PROXY_BLOCK,1,1,Proxy 0,80.0,51.8205078555037,2,8
2,PROXY_BLOCK,2,1,Proxy 9,70.0,58.649934188507146,3,7
3,PROXY_BLOCK,1,1,Proxy 6,60.0,58.977569022746685,4,6
4,PROXY_BLOCK,2,1,Proxy 3,50.0,62.611245710047925,5,5
5,PROXY_BLOCK,0,1,Proxy 2,40.0,72.17081393912542,6,4
6,PROXY_BLOCK,1,1,Proxy 7,30.000000000000004,74.58458393346642,7,3
7,PROXY_BLOCK,1,1,Proxy 5,19.999999999999996,95.25992791235235,8,2
8,PROXY_BLOCK,4,1,Proxy 4,9.999999999999998,95.75648281392384,9,1
9,PROXY_DEATH,1,1,Proxy 8,0.0,100.80616645418978,10,0
10,ENUMERATE_PROXY,-1,-1,Proxy 1,-1.0,8.672279332604703,-1,-1
11,MISS_ENUMERATE_PROXY,-1,-1,Proxy 1,-1.0,25.62773723215568,-1,-1
12,ENUMERATE_PROXY,-1,-1,Proxy 0,-1.0,27.848548374860876,-1,-1
13,ENUMERATE_PROXY,-1,-1,Proxy 9,-1.0,42.33961025536944,-1,-1
14,ENUMERATE_PROXY,-1,-1,Proxy 3,-1.0,53.25330888490739,-1,-1
15,ENUMERATE_PROXY,-1,-1,Proxy 6,-1.0,54.330937064720615,-1,-1
16,ENUMERATE_PROXY,-1,-1,Proxy 2,-1.0,70.21963870842845,-1,-1
17,ENUMERATE_PROXY,-1,-1,Proxy 7,-1.0,73.74830302110108,-1,-1
18,ENUMERATE_PROXY,-1,-1,Proxy 5,-1.0,95.06708226269983,-1,-1
19,ENUMERATE_PROXY,-1,-1,Proxy 4,-1.0,95.16454162282473,-1,-1
20,ENUMERATE_PROXY,-1,-1,Proxy 8,-1.0,100.65565653767865,-1,-1
