,time,action,proxy_name,honest_clients,malicious_clients,system_health,total_blocked,total_healthy
0,21.640968330948816,EXPOSE_CLIENT,Proxy 54,0,1,0,0,200
1,42.0,CENSOR_TRACK,,20,22,0,20,180
2,45.053309486294005,EXPOSE_CLIENT,Proxy 36,0,1,0,0,200
3,46.83101020688604,EXPOSE_CLIENT,Proxy 54,1,1,0,0,200
4,47.01526644964169,EXPOSE_CLIENT,Proxy 37,0,1,0,0,200
5,56.20254492071009,EXPOSE_CLIENT,Proxy 61,0,1,0,0,200
6,57.72445524354815,EXPOSE_CLIENT,Proxy 49,1,1,0,0,200
7,61.746733088332626,EXPOSE_CLIENT,Proxy 14,0,1,0,0,200
8,66.14840767484155,EXPOSE_CLIENT,Proxy 49,2,1,0,0,200
9,83.26671955177265,EXPOSE_CLIENT,Proxy 54,2,1,0,0,200
10,94.85388125710783,EXPOSE_CLIENT,Proxy 38,0,3,0,0,200
11,109.0,CENSOR_TRACK,,51,58,0,40,160
12,96.62738778447974,EXPOSE_CLIENT,Proxy 79,1,1,0,0,200
13,104.76418678266687,EXPOSE_CLIENT,Proxy 84,0,1,0,0,200
14,108.71142132521894,EXPOSE_CLIENT,Proxy 29,1,2,0,0,200
15,108.91994837793679,EXPOSE_CLIENT,Proxy 72,0,1,0,0,200
16,115.34658446610902,EXPOSE_CLIENT,Proxy 34,0,2,0,0,200
17,116.5743913094791,EXPOSE_CLIENT,Proxy 31,1,1,0,0,200
18,120.20188710442083,EXPOSE_CLIENT,Proxy 62,2,2,0,0,200
19,122.04736470482466,EXPOSE_CLIENT,Proxy 37,1,2,0,0,200
20,122.09628467583411,EXPOSE_CLIENT,Proxy 73,0,1,0,0,200
21,122.80016004723271,EXPOSE_CLIENT,Proxy 81,0,1,0,0,200
22,123.90875272341972,EXPOSE_CLIENT,Proxy 48,0,3,0,0,200
23,128.5278139188892,EXPOSE_CLIENT,Proxy 35,0,3,0,0,200
24,128.77005681342453,EXPOSE_CLIENT,Proxy 48,1,3,0,0,200
25,133.2703926465254,EXPOSE_CLIENT,Proxy 73,1,1,0,0,200
26,134.75587165321278,EXPOSE_CLIENT,Proxy 52,0,1,0,0,200
27,137.67217585179637,EXPOSE_CLIENT,Proxy 91,0,1,0,0,200
28,138.18452291184659,EXPOSE_CLIENT,Proxy 38,1,3,0,0,200
29,139.8123285809373,EXPOSE_CLIENT,Proxy 87,0,2,0,0,200
30,142.1605278431277,EXPOSE_CLIENT,Proxy 33,0,3,0,0,200
31,147.60221874137378,EXPOSE_CLIENT,Proxy 87,1,2,0,0,200
32,148.96642521537794,EXPOSE_CLIENT,Proxy 51,1,1,0,0,200
33,150.6656566474144,EXPOSE_CLIENT,Proxy 69,0,1,0,0,200
34,153.96813644128397,EXPOSE_CLIENT,Proxy 68,2,1,0,0,200
35,157.75415071408258,EXPOSE_CLIENT,Proxy 84,1,1,0,0,200
36,158.0878488747319,EXPOSE_CLIENT,Proxy 51,2,1,0,0,200
37,162.43180694067257,EXPOSE_CLIENT,Proxy 36,1,2,0,0,200
38,167.96539138553027,EXPOSE_CLIENT,Proxy 70,1,1,0,0,200
39,169.68951029703075,EXPOSE_CLIENT,Proxy 84,2,1,0,0,200
40,172.5649438316757,EXPOSE_CLIENT,Proxy 77,1,3,0,0,200
41,175.904607771306,EXPOSE_CLIENT,Proxy 46,1,2,0,0,200
42,179.93274254865668,EXPOSE_CLIENT,Proxy 73,2,1,0,0,200
43,184.97175697682772,EXPOSE_CLIENT,Proxy 75,0,1,0,0,200
44,195.67268452690678,EXPOSE_CLIENT,Proxy 72,1,1,0,0,200
45,201.22139041406228,EXPOSE_CLIENT,Proxy 75,1,1,0,0,200
46,214.0,CENSOR_TRACK,,108,106,0,60,140
47,201.76131961470975,EXPOSE_CLIENT,Proxy 56,0,4,0,0,200
48,209.00167185390745,EXPOSE_CLIENT,Proxy 88,0,1,0,0,200
49,212.2724392105482,EXPOSE_CLIENT,Proxy 72,2,2,0,0,200
50,214.3313803663037,EXPOSE_CLIENT,Proxy 75,2,1,0,0,200
51,215.75846013496815,EXPOSE_CLIENT,Proxy 60,2,1,0,0,200
52,222.6468778934338,EXPOSE_CLIENT,Proxy 54,3,1,0,0,200
53,229.6807521674458,EXPOSE_CLIENT,Proxy 103,1,1,0,0,200
54,229.94588844266246,EXPOSE_CLIENT,Proxy 98,0,1,0,0,200
55,232.03834344771306,EXPOSE_CLIENT,Proxy 98,1,1,0,0,200
56,243.75222942514998,EXPOSE_CLIENT,Proxy 113,0,1,0,0,200
57,243.86179055908488,EXPOSE_CLIENT,Proxy 51,3,1,0,0,200
58,244.68106811418917,EXPOSE_CLIENT,Proxy 79,2,3,0,0,200
59,247.01441403413713,EXPOSE_CLIENT,Proxy 79,3,3,0,0,200
60,249.5992108356687,EXPOSE_CLIENT,Proxy 86,1,1,0,0,200
61,261.99920564323935,EXPOSE_CLIENT,Proxy 54,4,1,0,0,200
62,264.8745354577338,EXPOSE_CLIENT,Proxy 69,1,2,0,0,200
63,272.8489749415482,EXPOSE_CLIENT,Proxy 71,1,2,0,0,200
64,279.60885755015005,EXPOSE_CLIENT,Proxy 68,3,2,0,0,200
65,285.58756517829937,EXPOSE_CLIENT,Proxy 84,3,1,0,0,200
66,296.45896796357925,EXPOSE_CLIENT,Proxy 86,2,1,0,0,200
67,297.76732210776936,EXPOSE_CLIENT,Proxy 71,2,2,0,0,200
68,306.92932296313694,EXPOSE_CLIENT,Proxy 72,3,4,0,0,200
69,310.64408193330826,EXPOSE_CLIENT,Proxy 79,4,3,0,0,200
70,310.0,CENSOR_TRACK,,154,156,0,80,120
71,312.909046406393,EXPOSE_CLIENT,Proxy 115,0,2,0,0,200
72,314.14410677179757,EXPOSE_CLIENT,Proxy 77,2,3,0,0,200
73,314.3808505386717,EXPOSE_CLIENT,Proxy 101,1,2,0,0,200
74,318.98802072925713,EXPOSE_CLIENT,Proxy 101,2,2,0,0,200
75,319.3292486640518,EXPOSE_CLIENT,Proxy 120,0,1,0,0,200
76,326.63927314582475,EXPOSE_CLIENT,Proxy 75,3,1,0,0,200
77,329.38214856305706,EXPOSE_CLIENT,Proxy 88,1,1,0,0,200
78,329.5741183124783,EXPOSE_CLIENT,Proxy 102,0,2,0,0,200
79,332.18656050978706,EXPOSE_CLIENT,Proxy 77,3,3,0,0,200
80,337.0363956255519,EXPOSE_CLIENT,Proxy 70,2,2,0,0,200
81,337.4942765418138,EXPOSE_CLIENT,Proxy 106,1,1,0,0,200
82,340.1787363744807,EXPOSE_CLIENT,Proxy 112,2,1,0,0,200
83,340.54302367074155,EXPOSE_CLIENT,Proxy 104,0,2,0,0,200
84,342.29032486352764,EXPOSE_CLIENT,Proxy 121,0,1,0,0,200
85,345.221534041402,EXPOSE_CLIENT,Proxy 129,0,1,0,0,200
86,352.99760590229045,EXPOSE_CLIENT,Proxy 100,0,2,0,0,200
87,355.48581720474243,EXPOSE_CLIENT,Proxy 98,2,4,0,0,200
88,357.5611716830067,EXPOSE_CLIENT,Proxy 109,0,1,0,0,200
89,363.5324421918305,EXPOSE_CLIENT,Proxy 80,0,2,0,0,200
90,371.12964576908234,EXPOSE_CLIENT,Proxy 130,0,1,0,0,200
91,373.37401035833625,EXPOSE_CLIENT,Proxy 130,1,1,0,0,200
92,375.04844196611214,EXPOSE_CLIENT,Proxy 80,1,2,0,0,200
93,379.2713216789017,EXPOSE_CLIENT,Proxy 77,4,3,0,0,200
94,380.70097925982117,EXPOSE_CLIENT,Proxy 108,1,2,0,0,200
95,386.7825680002777,EXPOSE_CLIENT,Proxy 101,3,3,0,0,200
96,391.878459069274,EXPOSE_CLIENT,Proxy 115,1,3,0,0,200
97,392.0252547232636,EXPOSE_CLIENT,Proxy 90,1,1,0,0,200
98,394.43890459797996,EXPOSE_CLIENT,Proxy 75,4,3,0,0,200
99,398.34757693034857,EXPOSE_CLIENT,Proxy 133,1,1,0,0,200
100,403.4632662326943,EXPOSE_CLIENT,Proxy 94,1,1,0,0,200
101,404.70657096687444,EXPOSE_CLIENT,Proxy 118,0,2,0,0,200
102,405.23849197161024,EXPOSE_CLIENT,Proxy 97,2,1,0,0,200
103,405.5354531110762,EXPOSE_CLIENT,Proxy 103,2,1,0,0,200
104,407.62725117417506,EXPOSE_CLIENT,Proxy 102,1,2,0,0,200
105,413.1025611304766,EXPOSE_CLIENT,Proxy 79,5,3,0,0,200
106,414.3370199159154,EXPOSE_CLIENT,Proxy 109,1,1,0,0,200
107,415.12927876434196,EXPOSE_CLIENT,Proxy 113,1,1,0,0,200
108,415.1349512183482,EXPOSE_CLIENT,Proxy 134,2,1,0,0,200
109,408.0,CENSOR_TRACK,,205,203,0,100,100
110,426.301335581683,EXPOSE_CLIENT,Proxy 137,0,1,0,0,200
111,426.68189484784045,EXPOSE_CLIENT,Proxy 141,0,1,0,0,200
112,427.78731904143046,EXPOSE_CLIENT,Proxy 123,0,1,0,0,200
113,427.8663891813232,EXPOSE_CLIENT,Proxy 84,4,1,0,0,200
114,436.70803229424365,EXPOSE_CLIENT,Proxy 130,2,2,0,0,200
115,444.54072721876804,EXPOSE_CLIENT,Proxy 97,3,1,0,0,200
116,444.8883444499472,EXPOSE_CLIENT,Proxy 102,2,3,0,0,200
117,445.2952290269641,EXPOSE_CLIENT,Proxy 106,2,2,0,0,200
118,447.7103951366725,EXPOSE_CLIENT,Proxy 89,2,2,0,0,200
119,457.1053519651313,EXPOSE_CLIENT,Proxy 127,0,2,0,0,200
120,457.73044552043314,EXPOSE_CLIENT,Proxy 128,0,1,0,0,200
121,460.9011220297803,EXPOSE_CLIENT,Proxy 108,2,3,0,0,200
122,463.71526352699635,EXPOSE_CLIENT,Proxy 87,2,4,0,0,200
123,463.9028611402691,EXPOSE_CLIENT,Proxy 127,1,2,0,0,200
124,464.69360454139814,EXPOSE_CLIENT,Proxy 141,1,1,0,0,200
125,467.44413467014834,EXPOSE_CLIENT,Proxy 125,0,1,0,0,200
126,468.0944339792894,EXPOSE_CLIENT,Proxy 109,2,1,0,0,200
127,474.1690071319913,EXPOSE_CLIENT,Proxy 125,1,1,0,0,200
