n,num_tries,optimal_load,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60
60,2218,36,1,1,1,3,4,5,6,6,9,10,14,15,16,18,20,21,22,23,23,24,24,26,26,26,27,29,31,33,33,35,36,36,42,42,42,42,44,46,46,46,48,50,52,52,52,53,55,55,59,64,65,68,69,70,70,72,74,77,78,81
60,1391,23,1,1,2,2,3,4,4,4,5,5,7,7,7,9,9,10,11,12,12,14,14,15,18,18,18,19,19,21,22,24,24,26,26,26,27,28,28,28,28,29,30,31,32,32,33,34,36,36,36,37,37,37,39,42,47,47,52,54,55,57
60,4574,76,1,3,4,6,8,13,16,22,25,26,27,28,29,30,30,34,35,40,43,44,49,52,55,58,61,62,64,71,72,76,76,78,78,86,87,88,95,96,102,104,106,109,113,114,114,119,124,125,129,129,130,130,131,135,136,139,146,148,156,167
60,1996,33,1,1,1,2,2,3,6,7,7,9,9,11,11,14,15,16,16,17,21,21,23,23,23,24,25,25,30,30,31,32,32,32,33,33,35,37,37,42,45,45,45,46,47,49,49,49,51,53,56,58,59,61,62,63,63,65,67,72,77,77
60,1491,24,1,2,2,3,4,4,5,5,6,7,8,8,9,10,13,14,14,14,15,15,15,16,17,17,18,20,21,21,21,22,22,26,26,26,27,29,29,29,30,31,32,33,34,35,36,37,39,39,39,40,46,46,47,48,48,51,52,55,56,56
60,4254,70,1,2,3,6,6,10,12,13,15,19,23,24,24,31,33,34,36,37,37,43,45,48,50,54,57,63,64,65,68,69,70,72,76,77,80,81,83,87,93,93,97,100,102,103,113,113,114,114,115,115,123,127,130,131,133,139,140,141,148,152
60,3066,51,1,2,3,5,6,7,8,12,13,13,15,16,20,25,25,25,25,27,29,32,36,38,39,39,40,41,41,42,43,46,46,47,47,51,59,59,60,62,64,65,67,70,73,79,81,83,84,87,88,90,92,95,96,96,99,100,100,101,101,110
60,1447,24,1,1,1,2,3,3,3,5,5,5,7,8,8,9,9,11,11,12,12,12,15,16,16,17,18,18,20,21,22,23,23,23,24,25,28,29,30,30,31,32,34,34,34,36,36,38,38,38,39,41,42,44,44,46,47,49,49,54,57,58
60,3025,50,1,1,2,2,6,7,7,8,11,12,15,17,17,18,18,19,23,28,33,33,34,34,39,41,43,44,46,46,47,47,49,50,50,51,58,58,59,61,61,64,73,73,74,75,76,76,78,79,84,85,87,90,93,94,94,100,106,106,109,113
60,2808,46,1,2,2,4,4,6,8,10,13,16,16,17,18,21,22,22,25,26,26,27,28,32,33,33,34,34,37,39,39,41,44,47,49,50,50,51,54,55,55,56,58,62,66,70,72,73,73,79,82,85,88,89,90,92,92,92,93,96,103,106
