n,num_tries,optimal_load,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
10,44,4,1,2,2,3,3,6,6,6,7,8
10,42,4,1,1,2,2,2,6,6,7,7,8
10,91,9,1,4,5,5,6,12,13,13,14,18
10,45,4,1,1,1,2,3,6,7,8,8,8
10,42,4,1,1,1,1,3,6,7,7,7,8
10,23,2,1,1,1,1,1,3,3,4,4,4
10,32,3,1,1,1,1,2,4,5,5,6,6
10,53,5,1,1,1,3,4,7,8,9,9,10
10,54,5,1,1,1,2,4,7,9,9,10,10
10,28,2,1,1,1,1,2,4,4,4,5,5
