21,50,730,2529,171,543
22,50,789,2852,187,512
23,50,884,2631,161,568
24,50,981,2962,331,553
25,50,990,2468,243,543
26,50,1067,3228,211,743
27,50,1179,3284,357,736
28,50,1250,4911,382,889
29,50,1547,5510,294,1193
30,50,1443,4059,193,835
31,50,1602,4657,523,894
32,50,1709,4350,333,967
33,50,1646,4977,286,990
34,50,1865,6158,500,1132
35,50,2058,7553,584,1359
36,50,2663,10842,431,2192
37,50,2177,7331,526,1395
38,50,2476,7797,510,1558
39,50,2414,5143,640,1244
40,50,2821,8490,709,1729
41,50,2698,9626,801,1808
42,50,2817,7034,658,1619
43,50,2807,10098,669,1807
44,50,2772,6798,823,1541
45,50,3350,8570,788,2018
46,50,3356,9880,522,1984
47,50,3613,17297,729,2781
48,50,3606,9124,1062,2154
49,50,3970,16934,1186,2703
50,50,4085,9467,1038,2328
51,50,5191,18569,1303,3786
52,50,4152,12132,799,2442
53,50,4069,10936,1085,2071
54,50,4735,13094,1241,2491
55,50,4925,14504,734,3317
56,50,5175,18816,622,3495
57,50,5189,16000,1747,3250
58,50,5712,14190,1431,3263
59,50,5892,14077,1371,2856
60,50,5767,16380,1074,3466
